2020-11-18 08:27:28 status not-installed libldap-2.4-2:amd64 <none>
2020-11-18 08:27:28 status installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 remove libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2020-11-18 08:27:28 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status config-files libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status installed libnpth0:amd64 1.6-1
2020-11-18 08:27:28 remove libnpth0:amd64 1.6-1 <none>
2020-11-18 08:27:28 status half-configured libnpth0:amd64 1.6-1
2020-11-18 08:27:28 status half-installed libnpth0:amd64 1.6-1
2020-11-18 08:27:28 status config-files libnpth0:amd64 1.6-1
2020-11-18 08:27:28 status not-installed libnpth0:amd64 <none>
2020-11-18 08:27:28 status installed wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 remove wget:amd64 1.20.1-1.1 <none>
2020-11-18 08:27:28 status half-configured wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 status half-installed wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 status config-files wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 status installed libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 remove libpcre2-8-0:amd64 10.32-5 <none>
2020-11-18 08:27:28 status half-configured libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 status half-installed libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 status config-files libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 status not-installed libpcre2-8-0:amd64 <none>
2020-11-18 08:27:28 status installed libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 remove libpsl5:amd64 0.20.2-2 <none>
2020-11-18 08:27:28 status half-configured libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 status half-installed libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 status config-files libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 status not-installed libpsl5:amd64 <none>
2020-11-18 08:27:28 status installed libreadline7:amd64 7.0-5
2020-11-18 08:27:28 remove libreadline7:amd64 7.0-5 <none>
2020-11-18 08:27:28 status half-configured libreadline7:amd64 7.0-5
2020-11-18 08:27:28 status half-installed libreadline7:amd64 7.0-5
2020-11-18 08:27:28 status config-files libreadline7:amd64 7.0-5
2020-11-18 08:27:28 status not-installed libreadline7:amd64 <none>
2020-11-18 08:27:28 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 remove libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status config-files libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status not-installed libsasl2-2:amd64 <none>
2020-11-18 08:27:28 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 remove libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status config-files libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
